,Current Coylton GSP Electricity Demand (MWh),Future Coylton Electricity Demand (MWh),Coylton 33kV Wind (MWh),Coylton GSP Wind (MWh),Domestic Heat per kWh,Air Temp (DegC),West Whitlawburn District Heating (kWh)
65,8.235551323,33.85774362,10.62671567,63.66372749,9.84E-05,3.33,254.7925
66,8.276297787,33.88949306,15.29982183,78.57661462,9.76E-05,3.173,261.485
67,8.177203394,33.80477308,15.43236782,78.00956015,9.93E-05,3.173,261.485
68,8.322923853,34.35413637,17.09521519,83.42075373,9.85E-05,2.894,303.0975
69,8.105206785,33.17035345,16.75794309,82.56858912,9.54E-05,2.894,303.0975
70,8.275741593,33.99887189,13.98549932,69.0694153,0.000100015,3.482,300.5225
71,8.474690888,34.18672719,13.9721834,70.03189499,9.96E-05,3.482,300.5225
72,8.768774708,34.87873563,13.7679402,71.66972567,0.000102313,5.194,374.24375
73,9.070981731,35.87890995,13.62175494,69.3239377,0.000106491,5.194,374.24375
74,9.576511616,36.85483626,14.42070211,70.24884882,0.000109387,6.195,330.9
75,9.963575393,38.78683271,14.33904074,71.63826555,0.000117239,6.195,330.9
76,10.25976034,39.37975076,11.78663992,60.76012318,0.000119752,6.023,322.73375
77,10.15490253,39.38828653,11.93031405,62.45654125,0.000119151,6.023,322.73375
78,10.38268038,40.62958723,9.521536908,53.53582466,0.000126251,5.39,327.44375
79,10.44628283,40.02258664,9.436837415,53.09639384,0.000122893,5.39,327.44375
80,10.3888231,39.61925857,9.057827803,51.32256599,0.000120132,5.36,373.23125
81,9.967744352,37.32601562,9.186320315,53.11476898,0.000109835,5.36,373.23125
82,9.758085918,35.92894977,9.939346776,55.10474036,0.000102569,5.406,421.0675
83,9.125691574,33.21200126,9.734871658,53.75593975,9.09E-05,5.406,421.0675
84,8.65583263,30.83519131,10.84611887,60.46168586,7.68E-05,5.433,460.61125
85,8.056849361,26.94943146,11.02243152,60.63562561,6.05E-05,5.433,460.61125
86,7.393100538,24.33383844,12.03047134,63.59511967,4.89E-05,5.237,446.95875
87,6.783425093,21.54165102,11.86705909,63.11561551,3.63E-05,5.237,446.95875
88,6.269947717,20.07800051,11.58314404,61.45744901,3.02E-05,4.687,354.3575
89,5.781150004,18.05898477,11.61771301,62.06742735,2.13E-05,4.687,354.3575
90,5.504607533,17.65080623,8.089148406,44.43817029,1.97E-05,3.635,312.265
91,5.341506127,16.85529164,8.060624885,43.73635902,1.78E-05,3.635,312.265
92,5.206251026,16.46945394,5.784221987,38.47110736,1.60E-05,3.37,276.37375
93,5.0913401,16.07844556,5.627803773,38.7085712,1.51E-05,3.37,276.37375
94,5.118395889,16.35834585,13.27591118,76.31763921,1.53E-05,3.271,218.37375
95,5.096359749,16.33370954,12.52166419,73.32066007,1.48E-05,3.271,218.37375
96,8.239487719,23.03714711,23.21762863,99.54291103,2.38E-05,3.347,175.345
97,8.151592006,22.05984186,22.30654391,101.0274324,2.53E-05,3.347,175.345
